Date,Open,High,Low,Close,Volume
24-Feb-16,0.92,0.95,0.92,0.95,4139
23-Feb-16,0.92,0.95,0.92,0.93,4186
22-Feb-16,0.94,0.94,0.92,0.92,3029
19-Feb-16,0.93,0.97,0.92,0.95,9862
18-Feb-16,0.95,0.97,0.93,0.93,6450
17-Feb-16,0.98,0.98,0.93,0.95,21574
16-Feb-16,0.92,0.93,0.92,0.93,2277
12-Feb-16,0.92,0.92,0.91,0.92,5041
11-Feb-16,0.93,0.93,0.91,0.92,7987
10-Feb-16,-,-,-,0.93,0
9-Feb-16,0.91,0.94,0.91,0.93,12981
8-Feb-16,0.93,0.98,0.93,0.94,13925
5-Feb-16,0.99,1.00,0.95,0.95,6607
4-Feb-16,1.02,1.02,0.97,0.99,1594
3-Feb-16,1.00,1.01,0.91,1.00,8194
2-Feb-16,1.01,1.01,0.96,0.99,1719
1-Feb-16,0.98,1.03,0.94,1.01,4831
29-Jan-16,1.00,1.03,0.95,0.98,51781
28-Jan-16,1.03,1.03,0.96,1.00,1692
27-Jan-16,0.96,1.02,0.93,1.02,70052
26-Jan-16,1.00,1.03,0.96,0.96,3138
25-Jan-16,0.96,1.04,0.95,0.97,6806
22-Jan-16,1.00,1.04,0.95,0.96,39491
21-Jan-16,1.00,1.06,1.00,1.02,105763
20-Jan-16,1.04,1.04,0.99,1.01,27032
19-Jan-16,1.04,1.05,0.99,1.01,17717
15-Jan-16,1.01,1.06,1.01,1.02,24004
14-Jan-16,1.02,1.06,1.01,1.03,33600
13-Jan-16,1.00,1.06,1.00,1.05,68652
12-Jan-16,1.08,1.08,1.02,1.05,7133
11-Jan-16,1.05,1.09,1.01,1.05,77277
8-Jan-16,1.03,1.04,0.99,1.03,26783
7-Jan-16,1.05,1.08,1.03,1.03,62729
6-Jan-16,1.03,1.10,1.03,1.05,71652
5-Jan-16,1.04,1.05,1.00,1.03,10225
4-Jan-16,0.99,1.03,0.94,1.00,42140
31-Dec-15,0.96,0.99,0.96,0.99,7911
